,,Max FP64 eK diff = ,0.000352139,,Max FP32 eK diff = ,1.602667555,,,Max FP64 fK diff = ,0.000317625,,Max FP32 fK diff = ,1.524640625
Row#148,129721.325,129721.3251,0.000111455,,129721.7891,0.464088455,,75795.66971,75795.6695,0.000206324,,75794.64844,1.021268324
Row#149,129041.1087,129041.1088,0.000111867,,129041.5703,0.461578867,,75686.48023,75686.48003,0.000204776,,75685.46875,1.011480776
Row#150,130637.5197,130637.5198,0.000114108,,130637.9922,0.472467108,,77665.03807,77665.03786,0.000207332,,77664.01563,1.022446332
Row#151,131261.9914,131261.9915,0.000118059,,131262.4844,0.493004059,,79706.64324,79706.64303,0.000208091,,79705.60938,1.033860091
Row#152,127245.1338,127245.134,0.000111854,,127245.6016,0.467713854,,76227.76183,76227.76163,0.000202413,,76226.75781,1.004021413
Row#153,125967.2438,125967.2439,0.000104359,,125967.6797,0.435875359,,71437.7544,71437.75421,0.000199932,,71436.75781,0.996591932
Row#154,131402.7898,131402.7899,0.000116305,,131403.2656,0.475857305,,78588.41666,78588.41646,0.000208179,,78587.38281,1.033851179
Row#155,128773.4327,128773.4328,0.000108713,,128773.8828,0.450145713,,73719.45954,73719.45934,0.000204606,,73718.44531,1.014228606
Row#156,134589.6023,134589.6024,0.000115754,,134590.0938,0.491435754,,78708.56097,78708.56076,0.000213739,,78707.50781,1.053159739
Row#157,140112.1249,140112.125,0.000122037,,140112.6406,0.515710037,,82327.52312,82327.5229,0.00022258,,82326.42969,1.09343058
Row#158,124985.0032,124985.0033,0.000110287,,124985.4609,0.457786287,,75058.7635,75058.7633,0.00019847,,75057.77344,0.99005947
Row#159,123502.8138,123502.8139,0.00011232,,123503.2734,0.45961732,,76130.76995,76130.76976,0.000196017,,76129.78906,0.980891017
Row#160,119014.5298,119014.5299,0.000105018,,119014.9609,0.431159018,,72025.08203,72025.08184,0.000189558,,72024.13281,0.949218558
Row#161,118515.2457,118515.2458,0.000104841,,118515.6719,0.426224841,,71483.86689,71483.8667,0.00018818,,71482.92188,0.94501718
Row#162,118274.0376,118274.0377,0.000106802,,118274.4688,0.431188802,,73005.66517,73005.66498,0.000188533,,73004.72656,0.938606533
Row#163,118212.2014,118212.2015,0.000109483,,118212.6484,0.447001483,,74680.23284,74680.23265,0.000188083,,74679.28906,0.943775083
Row#164,123215.7229,123215.723,0.000114204,,123216.1953,0.472383204,,77863.28651,77863.28632,0.000196104,,77862.3125,0.974011104
Row#165,118291.5253,118291.5254,0.000112373,,118291.9844,0.459076373,,76856.6997,76856.69951,0.000188323,,76855.75781,0.941886323
Row#166,113592.2071,113592.2072,0.000111027,,113592.6563,0.449188027,,76108.76354,76108.76336,0.00018085,,76107.85156,0.91197385
Row#167,121518.6135,121518.6136,0.000119557,,121519.1094,0.495883557,,81068.94167,81068.94148,0.000193241,,81067.97656,0.965111241
Row#168,99105.56758,99105.56768,0.00010121,,99105.96875,0.40117121,,70697.82081,70697.82065,0.000158874,,70697.00781,0.812999874
Row#169,90430.4805,90430.4806,9.52183E-05,,90430.85156,0.371062218,,67163.07772,67163.07758,0.00014498,,67162.32031,0.75741198
Row#170,105647.009,105647.0091,0.000107383,,105647.4375,0.428527383,,74244.6303,74244.63013,0.000168414,,74243.77344,0.856858414
Row#171,118756.805,118756.8051,0.000120327,,118757.2969,0.491863327,,81995.92306,81995.92287,0.000188686,,81994.97656,0.946493686
Row#172,115010.0321,115010.0323,0.000115641,,115010.5078,0.475671641,,78765.93432,78765.93414,0.000182944,,78765.01563,0.918696944
Row#173,111281.7272,111281.7273,0.000112751,,111282.1875,0.460322751,,77217.00779,77217.00761,0.000177003,,77216.11719,0.890602003
Row#174,116237.3783,116237.3784,0.000116927,,116237.8672,0.488897927,,80137.98227,80137.98209,0.000184471,,80137.05469,0.927586471
Row#175,123528.4471,123528.4472,0.000126756,,123528.9766,0.529460756,,85998.31841,85998.31822,0.000196235,,85997.34375,0.974662235
Row#176,117956.6523,117956.6524,0.000116203,,117957.125,0.472670203,,79258.46611,79258.46592,0.000187844,,79257.52344,0.942667844
Row#177,118135.2507,118135.2508,0.000115367,,118135.7188,0.468099367,,78508.68204,78508.68185,0.000187977,,78507.74219,0.939848977
Row#178,124440.8078,124440.8079,0.000123251,,124441.3281,0.520358251,,83595.92202,83595.92182,0.000197717,,83594.94531,0.976704717
Row#179,103329.9125,103329.9126,0.000105692,,103330.3359,0.423422692,,73205.88542,73205.88526,0.00016481,,73205.04688,0.83854581
Row#180,119985.6079,119985.608,0.000106378,,119986.0469,0.438956378,,72661.09652,72661.09633,0.000190908,,72660.14063,0.955895908
Row#181,119374.0589,119374.059,0.000105331,,119374.4844,0.425508331,,72320.73484,72320.73465,0.000189455,,72319.78906,0.945773455
Row#182,114682.4847,114682.4848,9.9139E-05,,114682.8828,0.398099139,,68487.66111,68487.66093,0.000182412,,68486.74219,0.918922412
Row#183,117909.0463,117909.0464,0.000102873,,117909.4688,0.422419873,,70915.83548,70915.83529,0.000187703,,70914.89063,0.944850703
Row#184,114913.1279,114913.128,9.936E-05,,114913.5313,0.40336736,,68506.69506,68506.69488,0.000183194,,68505.77344,0.921625194
Row#185,118164.8429,118164.8431,0.000103213,,118165.2656,0.422677213,,70854.57773,70854.57754,0.000187416,,70853.63281,0.944916416
Row#186,122538.3989,122538.399,0.000107593,,122538.8438,0.444877593,,73598.81088,73598.81068,0.000195056,,73597.83594,0.974938056
Row#187,123293.4418,123293.4419,0.000109006,,123293.8828,0.441040006,,74727.85079,74727.85059,0.000196208,,74726.875,0.975787208
Row#188,166853.5998,166853.5999,0.000132569,,166854.1563,0.556467569,,85270.39353,85270.39327,0.000264471,,85269.09375,1.299780471
Row#189,168587.015,168587.0151,0.000126511,,168587.5313,0.516257511,,79330.21472,79330.21445,0.000267454,,79328.89844,1.316282454
Row#190,162552.9895,162552.9897,0.000144397,,162553.625,0.635465397,,96217.34511,96217.34485,0.000257412,,96216.08594,1.259167412
Row#191,160288.4392,160288.4394,0.000155938,,160289.1094,0.670135938,,101577.3412,101577.341,0.00025421,,101576.0938,1.24746121
Row#192,162890.6945,162890.6947,0.000158662,,162891.3906,0.696087662,,103074.5378,103074.5375,0.000258538,,103073.2734,1.264357538
Row#193,161203.7536,161203.7537,0.000147747,,161204.3906,0.637027747,,95864.41008,95864.40982,0.00025561,,95863.15625,1.25382961
Row#194,162631.7681,162631.7682,0.000165702,,162632.4844,0.716291702,,108029.4905,108029.4903,0.00025761,,108028.2344,1.25616361
Row#195,163633.94,163633.9402,0.000171473,,163634.6875,0.747480473,,111795.2222,111795.222,0.000258986,,111793.9609,1.261272986
Row#196,165836.3202,165836.3204,0.000217383,,165837.2969,0.976656383,,141809.2659,141809.2656,0.000263311,,141808.0156,1.250255311
Row#197,166051.3552,166051.3554,0.000215882,,166052.2969,0.941659882,,137888.1802,137888.1799,0.00026445,,137886.9219,1.25830745
Row#198,130337.1902,130337.1903,0.000113815,,130337.6641,0.473839815,,77391.31612,77391.31591,0.00020651,,77390.28906,1.02705251
Row#199,129756.5235,129756.5236,0.00011243,,129756.9922,0.46867743,,76283.63299,76283.63278,0.00020646,,76282.60938,1.02361246
Row#200,129991.1151,129991.1152,0.000114055,,129991.5938,0.478624055,,77081.02213,77081.02192,0.000206215,,77080.00781,1.014313215
Row#201,118330.0226,118330.0228,0.000110296,,118330.4688,0.446108296,,75208.70583,75208.70565,0.000188259,,75207.76563,0.940208259
Row#202,104682.0892,104682.0893,0.00010456,,104682.5078,0.41860856,,72441.4605,72441.46033,0.000167352,,72440.60938,0.851126352
Row#203,118227.4076,118227.4077,0.000113596,,118227.875,0.467399596,,77697.77527,77697.77508,0.000187799,,77696.83594,0.939331799
Row#204,160456.6759,160456.6761,0.000157033,,160457.3438,0.667849033,,102483.7442,102483.7439,0.000254574,,102482.4922,1.252001574
Row#205,167284.0512,167284.0513,0.000129015,,167284.5781,0.526929015,,83388.82491,83388.82464,0.000265158,,83387.52344,1.301467158
Row#206,169121.2959,169121.296,0.000146726,,169121.9219,0.625982726,,94730.00645,94730.00619,0.000267943,,94728.70313,1.303327943
Row#207,166498.1251,166498.1252,0.000168918,,166498.8594,0.734296918,,109918.3705,109918.3702,0.000264163,,109917.0938,1.276741163
Row#208,164106.253,164106.2532,0.000164512,,164106.9688,0.715750512,,107404.0174,107404.0171,0.000261147,,107402.75,1.267384147
Row#209,163980.8034,163980.8036,0.000206379,,163981.7188,0.915358379,,134499.9642,134499.964,0.000260433,,134498.7031,1.261091433
Row#210,158794.7962,158794.7963,0.000107838,,158795.2031,0.406915838,,69016.72268,69016.72243,0.000251021,,69015.47656,1.246118021
Row#211,158188.2278,158188.2279,0.000104289,,158188.6406,0.412814289,,67133.1135,67133.11325,0.000250565,,67131.86719,1.246315565
Row#212,161825.1073,161825.1074,0.000148453,,161825.75,0.642742453,,96717.95045,96717.9502,0.00025619,,96716.6875,1.26295419
Row#213,167894.5136,167894.5137,0.000133001,,167895.0625,0.548917001,,85573.5025,85573.50224,0.000266157,,85572.19531,1.307189157
Row#214,158561.7896,158561.7897,0.000108212,,158562.2031,0.413485212,,68955.41292,68955.41267,0.000250865,,68954.16406,1.248859865
Row#215,192182.1317,192182.1319,0.000172538,,192182.9063,0.774524538,,112269.629,112269.6287,0.000304563,,112268.1641,1.464973563
Row#216,166992.9411,166992.9413,0.000232778,,166993.9531,1.012029778,,147253.4917,147253.4914,0.000266994,,147252.2344,1.257292994
Row#217,169440.2949,169440.2951,0.000151639,,169440.9375,0.642561639,,97352.8762,97352.87593,0.000268286,,97351.5625,1.313697286
Row#218,179986.9972,179986.9973,0.000115665,,179987.4844,0.487207665,,75404.39268,75404.3924,0.000284876,,75402.99219,1.400492876
Row#219,177415.9469,177415.9471,0.000158642,,177416.6563,0.709346642,,103627.1612,103627.1609,0.000281386,,103625.7969,1.364289386
Row#220,170804.8525,170804.8526,0.000165759,,170805.5781,0.725641759,,108355.3813,108355.381,0.000271349,,108354.0625,1.318750349
Row#221,170010.0261,170010.0263,0.00017221,,170010.7969,0.77077821,,112751.9941,112751.9938,0.000269737,,112750.6875,1.306608737
Row#222,176319.8306,176319.8308,0.000174161,,176320.6094,0.778739161,,113634.5911,113634.5908,0.000279831,,113633.2422,1.348909831
Row#223,128769.3194,128769.3195,0.000108675,,128769.7656,0.446226675,,73800.55076,73800.55055,0.00020504,,73799.52344,1.02731804
Row#224,182605.5828,182605.5831,0.000277988,,182606.8438,1.260943988,,180422.7826,180422.7823,0.00029096,,180421.4219,1.36076396
Row#225,184387.2515,184387.2517,0.000265781,,184388.4531,1.201656781,,172078.9073,172078.907,0.000293372,,172077.5156,1.391655372
Row#226,183666.7664,183666.7667,0.000271375,,183667.9844,1.217979375,,175739.6357,175739.6355,0.000292671,,175738.2656,1.370118671
Row#227,182665.1628,182665.1631,0.000278405,,182666.4219,1.259054405,,180177.2223,180177.222,0.000290354,,180175.8594,1.362958354
Row#228,168365.8907,168365.891,0.000328157,,168367.3906,1.499931157,,212633.8055,212633.8052,0.000269238,,212632.5469,1.258631238
Row#229,173135.2448,173135.2451,0.000309756,,173136.6563,1.411429756,,200786.4643,200786.464,0.000276269,,200785.1563,1.308063269
Row#230,162079.3047,162079.305,0.000352139,,162080.9063,1.601590139,,228315.4362,228315.4359,0.000259384,,228314.2031,1.233046384
Row#231,162507.7098,162507.7102,0.000350555,,162509.3125,1.602667555,,227308.2721,227308.2719,0.000259886,,227307.0313,1.240873886
Row#232,181297.4687,181297.469,0.000282629,,181298.75,1.281308629,,183389.8144,183389.8142,0.000288234,,183388.4531,1.361314234
Row#233,181444.7551,181444.7554,0.000282312,,181446.0469,1.291760312,,182795.1515,182795.1512,0.000288925,,182793.7813,1.370266925
Row#234,181833.9096,181833.9099,0.000279185,,181835.1875,1.277891185,,180682.3275,180682.3272,0.000289798,,180680.9688,1.358710798
Row#235,183664.6481,183664.6484,0.000265437,,183665.8594,1.211225437,,172183.5866,172183.5864,0.000292082,,172182.2031,1.383517082
Row#236,182624.4852,182624.4855,0.000273234,,182625.75,1.264783234,,177300.2616,177300.2613,0.000291042,,177298.8906,1.370940042
Row#237,185991.0548,185991.055,0.0002402,,185992.125,1.0702322,,155739.1433,155739.143,0.000295179,,155737.75,1.393255179
Row#238,186290.2318,186290.232,0.000236365,,186291.2969,1.065109365,,153323.6954,153323.6951,0.000295961,,153322.2969,1.398560961
Row#239,185909.7193,185909.7196,0.000241047,,185910.7969,1.077525047,,156343.2808,156343.2805,0.000295292,,156341.875,1.405798292
Row#240,183387.8765,183387.8768,0.000268345,,183389.1094,1.232884345,,173638.029,173638.0287,0.000291902,,173636.6406,1.388347902
Row#241,183124.6343,183124.6345,0.000270259,,183125.875,1.240723259,,174953.6393,174953.639,0.000290961,,174952.2656,1.373643961
Row#242,182110.1181,182110.1183,0.000277134,,182111.3906,1.272558134,,179540.3852,179540.385,0.000289908,,179539,1.385244908
Row#243,183257.1533,183257.1536,0.000268711,,183258.3906,1.237334711,,174299.0168,174299.0165,0.000291704,,174297.6406,1.376141704
Row#244,184226.1453,184226.1456,0.000260677,,184227.3438,1.198430677,,168953.8549,168953.8546,0.000292939,,168952.4688,1.386134939
Row#245,179667.8116,179667.8119,0.000276592,,179669.0625,1.250877592,,179608.1065,179608.1062,0.000286219,,179606.7344,1.372150219
Row#246,182741.3191,182741.3194,0.000277591,,182742.5781,1.259043591,,180083.4244,180083.4241,0.000291341,,180082.0625,1.361925341
Row#247,168280.4347,168280.4349,0.0001403,,168281.0313,0.5965343,,90696.4534,90696.45313,0.0002661,,90695.14844,1.3049611
Row#248,165023.8628,165023.863,0.000145108,,165024.4844,0.621564108,,93818.3387,93818.33844,0.000261788,,93817.0625,1.276198788
Row#249,164647.1653,164647.1655,0.00014611,,164647.7813,0.61593011,,94376.46316,94376.4629,0.000260906,,94375.17969,1.283468906
Row#250,163671.896,163671.8961,0.000124861,,163672.4063,0.510245861,,80271.84471,80271.84445,0.000258822,,80270.5625,1.282212822
Row#251,163882.3044,163882.3045,0.000127158,,163882.8125,0.508106158,,81579.72742,81579.72716,0.00025924,,81578.44531,1.28210924
Row#252,158391.843,158391.8431,0.000108087,,158392.2656,0.422588087,,68972.69097,68972.69072,0.000250832,,68971.4375,1.253467832
Row#253,144174.0504,144174.0505,0.000134296,,144174.625,0.574634296,,89541.42327,89541.42304,0.000229024,,89540.30469,1.118581024
Row#254,163766.8195,163766.8197,0.000151591,,163767.4844,0.664830591,,100771.12,100771.1198,0.000259007,,100769.8516,1.268448007
Row#255,175219.597,175219.5971,0.000145544,,175220.25,0.653015544,,96931.35359,96931.35332,0.00027746,,96930.00781,1.34578146
Row#256,167144.4662,167144.4664,0.000172287,,167145.2188,0.752559287,,112155.3168,112155.3166,0.000265854,,112154.0313,1.285592854
Row#257,167451.4808,167451.4809,0.000171804,,167452.2344,0.753612804,,112034.363,112034.3627,0.000266021,,112033.0781,1.284851021
Row#258,163808.9567,163808.9569,0.000175524,,163809.7188,0.762018524,,113605.7224,113605.7222,0.000260215,,113604.4688,1.253676215
Row#259,172101.774,172101.7742,0.000190219,,172102.625,0.850975219,,123874.1886,123874.1883,0.000273649,,123872.875,1.313573649
Row#260,115886.0845,115886.0846,9.1108E-05,,115886.4375,0.353028108,,62940.84259,62940.8424,0.000184186,,62939.90234,0.940241186
Row#261,127484.4225,127484.4226,0.000107342,,127484.8594,0.436890342,,72722.30882,72722.30862,0.000202174,,72721.28906,1.019756174
Row#262,144662.6206,144662.6207,0.000128958,,144663.1719,0.551289958,,85858.50705,85858.50682,0.000230001,,85857.375,1.132052001
Row#263,139195.3999,139195.4,0.000130445,,139195.9531,0.553254445,,87364.18183,87364.18161,0.000220702,,87363.09375,1.088083702
Row#264,129700.4681,129700.4682,0.00011104,,129700.9297,0.46161604,,75596.70683,75596.70662,0.000205549,,75595.67969,1.027140549
Row#265,124331.5389,124331.5391,0.000102943,,124331.9609,0.421989943,,70434.97646,70434.97626,0.000197755,,70433.98438,0.992083755
Row#266,164608.0908,164608.0909,0.000107262,,164608.5313,0.440434262,,70511.98089,70511.98063,0.00026094,,70510.6875,1.29339494
Row#267,166796.9561,166796.9563,0.000110677,,166797.4375,0.481358677,,75989.61452,75989.61426,0.00026376,,75988.30469,1.30983576
Row#268,165602.5969,165602.597,0.0001133,,165603.1094,0.5124393,,76892.36935,76892.36908,0.000262667,,76891.07813,1.291221667
Row#269,163376.4936,163376.4937,0.000171764,,163377.2344,0.740814764,,111607.1671,111607.1668,0.000258593,,111605.9063,1.260816593
Row#270,164652.6676,164652.6678,0.000173644,,164653.4375,0.769861644,,112891.4544,112891.4541,0.000261206,,112890.1953,1.259046206
Row#271,163960.2201,163960.2203,0.000167587,,163960.9531,0.732995587,,109259.4606,109259.4604,0.000260129,,109258.1953,1.265329129
Row#272,165802.4897,165802.4899,0.000186108,,165803.3125,0.822827108,,121132.5707,121132.5704,0.000262786,,121131.2969,1.273782786
Row#273,165992.0441,165992.0443,0.000213452,,165992.9688,0.924616452,,136400.6303,136400.63,0.000264048,,136399.375,1.255290048
Row#274,162244.0054,162244.0056,0.000182166,,162244.7969,0.791482166,,116890.3732,116890.3729,0.000258092,,116889.1328,1.240358092
Row#275,163354.54,163354.5402,0.000191775,,163355.3594,0.819405775,,122189.3903,122189.3901,0.000259894,,122188.1563,1.234065894
Row#276,166452.983,166452.9832,0.000226143,,166454,1.017012143,,147372.924,147372.9238,0.000264041,,147371.6563,1.267796041
Row#277,166801.7175,166801.7178,0.00023215,,166802.7656,1.04809515,,151065.0709,151065.0707,0.000264792,,151063.8125,1.258438792
Row#278,166360.8665,166360.8668,0.000224528,,166361.875,1.008467528,,146421.5097,146421.5095,0.000263938,,146420.2344,1.275345938
Row#279,164669.0908,164669.091,0.000213142,,164670.0313,0.940488142,,138760.0996,138760.0993,0.000261168,,138758.8438,1.255840168
Row#280,165697.2029,165697.2031,0.000219135,,165698.125,0.922086135,,135412.5238,135412.5235,0.000264948,,135411.2656,1.258172948
Row#281,162323.7147,162323.7149,0.000184527,,162324.5156,0.800880527,,118204.9508,118204.9505,0.000258971,,118203.7109,1.239859971
Row#282,166073.8974,166073.8976,0.000205886,,166074.7969,0.899478886,,133333.133,133333.1327,0.000263977,,133331.8594,1.273594977
Row#283,160467.643,160467.6432,0.000160515,,160468.3438,0.700733515,,104919.4349,104919.4346,0.000255009,,104918.1875,1.247380009
Row#284,136664.3595,136664.3596,0.000120317,,136664.875,0.515538317,,81400.51569,81400.51547,0.000216706,,81399.44531,1.070375706
Row#285,131147.0101,131147.0102,0.000120023,,131147.5156,0.505523023,,81118.25294,81118.25273,0.000207861,,81117.21875,1.034188861
Row#286,131687.0002,131687.0004,0.000116574,,131687.5,0.499751574,,79221.68202,79221.68181,0.000208914,,79220.64063,1.041396914
Row#287,152792.9616,152792.9617,0.000136942,,152793.5625,0.600914942,,91996.54698,91996.54674,0.000242276,,91995.35938,1.187606276
Row#288,120236.9274,120236.9275,0.000117647,,120237.4141,0.486672647,,80037.08027,80037.08008,0.000191019,,80036.125,0.955267019
Row#289,125831.798,125831.7981,0.000130622,,125832.3438,0.545790622,,87896.23155,87896.23135,0.000199094,,87895.23438,0.997170094
Row#290,97784.62587,97784.62597,0.000100804,,97785.01563,0.389753804,,70433.05467,70433.05451,0.000156648,,70432.25,0.804667648
Row#291,128274.5565,128274.5566,0.000117748,,128275.0469,0.490367748,,79796.3138,79796.3136,0.000203807,,79795.30469,1.009113807
Row#292,181782.3792,181782.3793,0.000125391,,181782.9219,0.542679391,,81918.70881,81918.70852,0.00028844,,81917.29688,1.41193344
Row#293,161945.7368,161945.7369,0.000152255,,161946.3906,0.653836255,,99104.72904,99104.72879,0.00025624,,99103.46875,1.26029424
Row#294,127923.0832,127923.0833,0.000107178,,127923.5234,0.440218178,,73355.04094,73355.04074,0.00020363,,73354.03125,1.00968863
Row#295,104276.9045,104276.9046,0.000105479,,104277.3281,0.423633479,,73223.12842,73223.12825,0.00016594,,73222.28125,0.84716894
Row#296,120876.1194,120876.1195,0.000120352,,120876.6172,0.497824352,,81554.27727,81554.27708,0.000192269,,81553.32031,0.956954269
Row#297,119413.1926,119413.1927,0.000115722,,119413.6641,0.471453722,,78625.69323,78625.69304,0.000189242,,78624.75,0.943225242
Row#298,161122.961,161122.9612,0.000160386,,161123.6406,0.679603386,,104385.1906,104385.1904,0.00025542,,104383.9453,1.24533642
Row#299,158818.6421,158818.6422,0.00015,,158819.2813,0.639188,,97577.85058,97577.85032,0.000252213,,97576.60938,1.241201213
